24	320	2	0
B
A
5	7.0	5.0	1.0	2.5	0.0	0.0	0.0	1.92	B
11	7.0	7.0	3.0	2.5	0.0	0.0	0.0	1.92	B
3	3.0	1.0	1.0	2.0	0.0	0.0	0.0	1.92	B
23	7.0	3.0	7.0	2.5	0.0	0.0	0.0	1.92	B
21	3.0	7.0	7.0	2.0	0.0	0.0	0.0	1.92	B
18	2.0	2.0	6.0	2.5	0.0	0.0	0.0	1.92	A
12	0.0	4.0	4.0	2.5	0.0	0.0	0.0	1.92	A
15	3.0	5.0	5.0	2.0	0.0	0.0	0.0	1.92	B
13	4.0	0.0	4.0	2.5	0.0	0.0	0.0	1.92	A
9	3.0	3.0	3.0	2.0	0.0	0.0	0.0	1.92	B
20	1.0	5.0	7.0	2.5	0.0	0.0	0.0	1.92	B
10	5.0	5.0	3.0	2.0	0.0	0.0	0.0	1.92	B
16	5.0	3.0	5.0	2.5	0.0	0.0	0.0	1.92	B
4	5.0	7.0	1.0	2.0	0.0	0.0	0.0	1.92	B
8	1.0	1.0	3.0	2.0	0.0	0.0	0.0	1.92	B
2	1.0	3.0	1.0	2.5	0.0	0.0	0.0	1.92	B
1	4.0	4.0	0.0	2.5	0.0	0.0	0.0	1.92	A
7	6.0	2.0	2.0	2.5	0.0	0.0	0.0	1.92	A
17	7.0	1.0	5.0	2.0	0.0	0.0	0.0	1.92	B
22	5.0	1.0	7.0	2.5	0.0	0.0	0.0	1.92	B
6	2.0	6.0	2.0	2.5	0.0	0.0	0.0	1.92	A
14	1.0	7.0	5.0	2.0	0.0	0.0	0.0	1.92	B
19	6.0	6.0	6.0	2.5	0.0	0.0	0.0	1.92	A
0	0.0	0.0	0.0	2.5	0.0	0.0	0.0	1.92	A
0	19	-0.11
0	4	-2.92
0	5	-2.92
0	11	-2.92
0	17	-2.92
0	22	-2.92
0	23	-2.92
0	7	-0.11
0	14	-2.92
0	20	-2.92
0	21	-2.92
0	6	-0.11
0	18	-0.11
0	2	-2.92
0	3	-2.92
0	8	-2.92
1	15	-2.92
1	16	-2.92
1	18	-0.11
1	19	-0.11
1	20	-2.92
1	21	-2.92
1	22	-2.92
1	23	-2.92
1	2	-2.92
1	3	-2.92
1	4	-2.92
1	5	-2.92
1	6	-0.11
1	7	-0.11
1	9	-2.92
1	10	-2.92
2	23	0.63
2	5	0.63
2	7	-2.92
2	18	-2.92
2	20	0.63
2	0	-2.92
2	1	-2.92
2	3	0.63
2	6	-2.92
2	8	0.63
2	9	0.63
2	12	-2.92
3	21	0.63
3	4	0.63
3	6	-2.92
3	18	-2.92
3	22	0.63
3	0	-2.92
3	1	-2.92
3	2	0.63
3	7	-2.92
3	8	0.63
3	9	0.63
3	13	-2.92
4	19	-2.92
4	21	0.63
4	1	-2.92
4	5	0.63
4	6	-2.92
4	10	0.63
4	11	0.63
4	22	0.63
4	3	0.63
4	7	-2.92
4	13	-2.92
4	0	-2.92
5	19	-2.92
5	23	0.63
5	1	-2.92
5	4	0.63
5	7	-2.92
5	10	0.63
5	11	0.63
5	20	0.63
5	2	0.63
5	6	-2.92
5	12	-2.92
5	0	-2.92
6	5	-2.92
6	11	-2.92
6	20	-2.92
6	21	-2.92
6	1	-0.11
6	2	-2.92
6	4	-2.92
6	9	-2.92
6	10	-2.92
6	12	-0.11
6	14	-2.92
6	15	-2.92
6	0	-0.11
6	3	-2.92
6	8	-2.92
6	13	-0.11
7	4	-2.92
7	11	-2.92
7	22	-2.92
7	23	-2.92
7	1	-0.11
7	3	-2.92
7	5	-2.92
7	9	-2.92
7	10	-2.92
7	13	-0.11
7	16	-2.92
7	17	-2.92
7	0	-0.11
7	2	-2.92
7	8	-2.92
7	12	-0.11
8	11	0.63
8	7	-2.92
8	17	0.63
8	6	-2.92
8	14	0.63
8	0	-2.92
8	2	0.63
8	3	0.63
8	9	0.63
8	12	-2.92
8	13	-2.92
8	18	-2.92
9	1	-2.92
9	2	0.63
9	3	0.63
9	6	-2.92
9	7	-2.92
9	8	0.63
9	10	0.63
9	12	-2.92
9	13	-2.92
9	15	0.63
9	16	0.63
9	18	-2.92
10	1	-2.92
10	4	0.63
10	5	0.63
10	6	-2.92
10	7	-2.92
10	9	0.63
10	11	0.63
10	15	0.63
10	16	0.63
10	19	-2.92
10	13	-2.92
10	12	-2.92
11	4	0.63
11	5	0.63
11	10	0.63
11	19	-2.92
11	7	-2.92
11	13	-2.92
11	17	0.63
11	6	-2.92
11	12	-2.92
11	14	0.63
11	0	-2.92
11	8	0.63
12	5	-2.92
12	7	-0.11
12	10	-2.92
12	11	-2.92
12	16	-2.92
12	17	-2.92
12	19	-0.11
12	23	-2.92
12	2	-2.92
12	6	-0.11
12	8	-2.92
12	9	-2.92
12	14	-2.92
12	15	-2.92
12	18	-0.11
12	20	-2.92
13	4	-2.92
13	6	-0.11
13	10	-2.92
13	11	-2.92
13	14	-2.92
13	15	-2.92
13	19	-0.11
13	21	-2.92
13	3	-2.92
13	7	-0.11
13	8	-2.92
13	9	-2.92
13	16	-2.92
13	17	-2.92
13	18	-0.11
13	22	-2.92
14	11	0.63
14	19	-2.92
14	17	0.63
14	6	-2.92
14	12	-2.92
14	15	0.63
14	20	0.63
14	21	0.63
14	8	0.63
14	13	-2.92
14	18	-2.92
14	0	-2.92
15	6	-2.92
15	9	0.63
15	10	0.63
15	12	-2.92
15	14	0.63
15	16	0.63
15	18	-2.92
15	19	-2.92
15	20	0.63
15	21	0.63
15	1	-2.92
15	13	-2.92
16	7	-2.92
16	9	0.63
16	10	0.63
16	13	-2.92
16	15	0.63
16	17	0.63
16	18	-2.92
16	19	-2.92
16	22	0.63
16	23	0.63
16	1	-2.92
16	12	-2.92
17	11	0.63
17	19	-2.92
17	7	-2.92
17	13	-2.92
17	16	0.63
17	22	0.63
17	23	0.63
17	14	0.63
17	8	0.63
17	12	-2.92
17	18	-2.92
17	0	-2.92
18	17	-2.92
18	23	-2.92
18	14	-2.92
18	21	-2.92
18	8	-2.92
18	9	-2.92
18	12	-0.11
18	13	-0.11
18	15	-2.92
18	16	-2.92
18	20	-2.92
18	22	-2.92
18	0	-0.11
18	1	-0.11
18	2	-2.92
18	3	-2.92
19	10	-2.92
19	11	-2.92
19	15	-2.92
19	16	-2.92
19	21	-2.92
19	23	-2.92
19	1	-0.11
19	4	-2.92
19	5	-2.92
19	13	-0.11
19	17	-2.92
19	22	-2.92
19	12	-0.11
19	14	-2.92
19	20	-2.92
19	0	-0.11
20	19	-2.92
20	23	0.63
20	5	0.63
20	12	-2.92
20	14	0.63
20	15	0.63
20	18	-2.92
20	21	0.63
20	1	-2.92
20	2	0.63
20	6	-2.92
20	0	-2.92
21	14	0.63
21	15	0.63
21	19	-2.92
21	20	0.63
21	1	-2.92
21	4	0.63
21	6	-2.92
21	13	-2.92
21	18	-2.92
21	22	0.63
21	0	-2.92
21	3	0.63
22	19	-2.92
22	21	0.63
22	4	0.63
22	13	-2.92
22	16	0.63
22	17	0.63
22	18	-2.92
22	23	0.63
22	1	-2.92
22	3	0.63
22	7	-2.92
22	0	-2.92
23	16	0.63
23	17	0.63
23	19	-2.92
23	22	0.63
23	1	-2.92
23	5	0.63
23	7	-2.92
23	12	-2.92
23	18	-2.92
23	20	0.63
23	0	-2.92
23	2	0.63
